,price,Number of Gears,Assembled,Engine CC,Direct Injection,Aspiration,Wheel Base (mm),Front Thread,Fuel Tank (litres),Rear Brakes,vehicle_age,volume,specific_power,brand_tier
1645,24790.0,4,Official Import,1598,Multi-Point Injected,Aspirated,2640.0,1542.0,55.0,Discs,13,11815713000.0,58.47627533971931,B
1646,35790.0,6,Official Import,1998,Multi-Point Injected,Aspirated,2795.0,1542.0,70.0,Discs,11,12965155800.0,91.89128981955892,C
1647,26790.0,4,Locally Built,1598,Multi-Point Injected,Aspirated,2600.0,1470.0,52.0,Drums,13,11876982000.0,64.22804012723269,C
1648,25790.0,4,Locally Built,1498,Multi-Point Injected,Aspirated,2600.0,1470.0,41.0,Drums,11,11325566250.0,73.54531689379192,C
1649,25790.0,4,Locally Built,1598,Multi-Point Injected,Aspirated,2640.0,1470.0,55.0,Discs,11,11815713000.0,75.70841444949167,B
1650,34200.0,4,Locally Built,1298,Multi-Point Injected,Aspirated,2440.0,1470.0,40.0,Discs,6,9658914750.0,70.74004975124377,D
1651,31790.0,4,Locally Built,1495,Multi-Point Injected,Aspirated,2750.0,1475.0,42.0,Drums,10,11546509500.0,67.42602775595705,D
1652,28790.0,4,Locally Built,1498,Multi-Point Injected,Aspirated,2600.0,1475.0,41.0,Drums,9,11325566250.0,72.84153395700922,C
1653,4999.0,5,Locally Built,1299,Multi-Point Injected,Aspirated,2500.0,1450.0,50.0,Drums,28,9935436000.0,56.251406285157124,D
1654,26790.0,4,Locally Built,1495,Multi-Point Injected,Aspirated,2440.0,1455.0,40.0,Discs,9,9479386125.0,78.43435881815412,D
1655,14790.0,4,Locally Built,989,Multi-Point Injected,Aspirated,2390.0,1300.0,36.0,Drums,11,8067881250.0,56.200479086051224,D
1656,26790.0,4,Locally Built,1998,Multi-Point Injected,Aspirated,2750.0,1510.0,55.0,Drums,16,14149424250.0,65.69096266241607,B
1657,28790.0,4,Locally Built,1498,Multi-Point Injected,Aspirated,2600.0,1510.0,41.0,Drums,9,11325566250.0,72.84153395700922,C
1658,33790.0,4,Locally Built,1597,Multi-Point Injected,Aspirated,2555.0,1510.0,40.0,Drums,7,11739559356.0,69.22832645284218,D
1659,48790.0,4,Locally Built,1497,Multi-Point Injected,Aspirated,2530.0,1492.0,40.0,Drums,8,10210449480.0,83.92899606932535,B
1660,21790.0,6,Locally Built,1597,Multi-Point Injected,Aspirated,2650.0,1542.0,50.0,Discs,11,12365428152.0,61.39115742044495,D
1661,89850.0,6,Locally Built,1799,Multi-Point Injected,Aspirated,2700.0,1547.0,47.0,Discs,4,11794387920.0,84.11181502559147,B
1662,35400.0,4,Locally Built,998,Multi-Point Injected,Aspirated,2455.0,1410.0,33.0,Discs,5,8904168000.0,59.70149253731343,D
